Timeline Summary
Timeline Name,seq5.Exported.01
Timeline Edit Rate,25.0
Timeline Start TC,10:20:00:13
Timeline Length,00:02:03:12 (3087 frames)
Total Timeline Events,43
Total Unique Source Clips,36

Event Number,Clip Name,Source File Name,Source File Path (URL),DiskLabel,TapeID,SourceMobID,Source TrackID,Source Edit Rate,Source Clip Start TC,Source Offset TC,Event Start Time (from source),Event End Time (from source),Event Length (frames),Timeline Start TC,Source Clip Start (frames),Source Offset (frames),Event Start Time (frames)
31,WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008_C0061.MP4,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_240711_FX3_Bcam_008/M4ROOT/CLIP/WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008,WW2D_240711_FX3_Bcam_008,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.fb0b8fa3.05348006.37b0705a.0f36c12f,N/A,25.0,11:40:55:12,00:11:07:00,11:52:02:12,11:52:04:16,54,10:21:33:12,1051387,16675,1068062
32,WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008_C0061.MP4,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_240711_FX3_Bcam_008/M4ROOT/CLIP/WW2D_240711_FX3_Bcam_008_C0061.MP4,WW2D_240711_FX3_Bcam_008,WW2D_240711_FX3_Bcam_008,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.fb0b8fa3.05348006.37b0705a.0f36c12f,N/A,25.0,11:40:55:12,00:13:05:06,11:54:00:18,11:54:02:21,53,10:21:35:16,1051387,19631,1071018
33,WW2D_DNA_SCAN_v05.mov,WW2D_DNA_SCAN_v05.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/05_GFX/2025_06_18/WW2D_EP1_additional_GFX_01/WW2D_DNA_SCAN_v05.mov,WW2D_EP1_additional_GFX_01,WW2D_EP1_additional_GFX_01,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.266fae36.08448006.1a4410e7.c61bfb30,N/A,25.0,00:00:01:00,00:00:02:16,00:00:03:16,00:00:07:18,102,10:21:37:19,25,66,91
34,WW2D_DNA_SCAN_TOP_v01.mov,WW2D_DNA_SCAN_TOP_v01.mov,file:///Z%3A/GFX/FROM%20TIM%20VARLOW/2025_05_20/WW2D_DNA_SCAN_TOP_v01.mov,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.c540ba20.08158006.570b3013.8bebd03f,N/A,25.0,00:00:00:00,00:00:00:00,00:00:00:00,00:00:03:13,88,10:21:41:21,0,0,0
35,A001_C009_0318FE_001.mov,A001_C009_0318FE_001.mov,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_03_18/WW2D_20250318_RED%20A_013/A001_0318KX/A001_0318KX.RDM/A001_C009_0318FE.RDC/A001_C009_0318FE_001.mov,WW2D_20250318_RED A_013,WW2D_20250318_RED A_013,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.bf065a9f.07538006.8f39dc4a.3e67ff58,N/A,25.0,11:56:55:12,00:04:29:23,12:01:25:10,12:01:28:22,87,10:21:45:09,1075387,6748,1082135
36,B003_C015_0425VT_001.R3D,B003_C015_0425VT_001.R3D,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_25/WW2D_250425_RED_B_003/B003_0425OL.RDM/B003_C015_0425VT.RDC/B003_C015_0425VT_001.R3D,WW2D_250425_RED_B_003,WW2D_250425_RED_B_003,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.25d7ea2a.07918006.d421dc4a.3e67ff58,N/A,25.0,20:30:59:06,00:00:26:13,20:31:25:19,20:31:27:08,39,10:21:48:21,1846481,663,1847144
37,A003_C017_0425Z8_001.R3D,A003_C017_0425Z8_001.R3D,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_25/WW2D_250425_RED_A_003/A003_04255L.RDM/A003_C017_0425Z8.RDC/A003_C017_0425Z8_001.R3D,WW2D_250425_RED_A_003,WW2D_250425_RED_A_003,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.d2ce97a4.07918006.62a4ecb1.d742a090,N/A,25.0,20:37:42:11,00:00:14:08,20:37:56:19,20:37:57:21,27,10:21:50:10,1856561,358,1856919
38,A003_C016_0425O9_001.R3D,A003_C016_0425O9_001.R3D,file://10.10.1.195/nearline/BLINK/BLINK_WW2%20DECODED_NEARLINE/01_RUSHES/2025_04_25/WW2D_250425_RED_A_003/A003_04255L.RDM/A003_C016_0425O9.RDC/A003_C016_0425O9_001.R3D,WW2D_250425_RED_A_003,WW2D_250425_RED_A_003,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0b2e2e1c.07928006.f55fecb1.d742a090,N/A,25.0,20:34:19:20,00:00:59:03,20:35:18:23,20:35:20:21,48,10:21:51:12,1851495,1478,1852973
39,FX60132.MXF,FX60132.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_2407011_FX6_Acam_010/XDROOT/Clip/FX60132.MXF,WW2D_2407011_FX6_Acam_010,WW2D_2407011_FX6_Acam_010,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0e2c2c2d.05348006.9636705a.0f36c12f,N/A,25.0,11:18:16:19,00:00:06:00,11:18:22:19,11:18:23:19,25,10:21:53:10,1017419,150,1017569
40,FX60128.MXF,FX60128.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_2407011_FX6_Acam_010/XDROOT/Clip/FX60128.MXF,WW2D_2407011_FX6_Acam_010,WW2D_2407011_FX6_Acam_010,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.09f0ced6.05348006.1999705a.0f36c12f,N/A,25.0,11:05:52:02,00:01:28:02,11:07:20:04,11:07:21:19,40,10:21:54:10,998802,2202,1001004
41,FX60130.MXF,FX60130.MXF,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_2407011_FX6_Acam_010/XDROOT/Clip/FX60130.MXF,WW2D_2407011_FX6_Acam_010,WW2D_2407011_FX6_Acam_010,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.0cb0ed47.05348006.ada1705a.0f36c12f,N/A,25.0,11:09:57:02,00:00:09:00,11:10:06:02,11:10:08:08,56,10:21:56:00,1004927,225,1005152
42,WW2D_240711_FX3_Bcam_008_C0053.MP4,WW2D_240711_FX3_Bcam_008_C0053.MP4,file://10.10.1.195/nearline/BLINK/BLINK_WORLD_WAR%20TWO%20DECODED_NEARLINE/01_RUSHES/2024_07_11/WW2D_240711_FX3_Bcam_008/M4ROOT/CLIP/WW2D_240711_FX3_Bcam_008_C0053.MP4,WW2D_240711_FX3_Bcam_008,WW2D_240711_FX3_Bcam_008,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.f368ecd6.05348006.52f0705a.0f36c12f,N/A,25.0,10:53:18:24,00:14:20:17,11:07:39:16,11:07:41:11,45,10:21:58:06,979974,21517,1001491
43,WW2D_ARC_1456_M_BSB_HOFF-25543.jpg,WW2D_ARC_1456_M_BSB_HOFF-25543.jpg,file:///Z%3A/ARCHIVE%20AND%20DOWNLOADS/MASTER%20ARCHIVE/EP1/BSB%20MASTER%20ARCHIVE/WW2D_ARC_1456_M_BSB_HOFF-25543.jpg,,,urn:smpte:umid:060a2b34.01010105.01010f10.13000000.b1d860fc.08448006.8b27644e.d7ca5741,N/A,25.0,01:00:00:00,00:00:00:00,01:00:00:00,01:00:03:24,99,10:22:00:01,90000,0,90000
